title,genre,year,rating,director,plot,runtime,cast,budget,revenue
Frankenstein,Romance Comedy,1996,8.4,"Park Chan-wook, Wong Kar-wai",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,84,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",208926759,983166190
The Mummy,Romance Drama,1998,9.7,"Christopher Nolan, Greta Gerwig",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,162,"Actor 0, Actor 1, Actor 2, Actor 3",42507582,1759996749
Dracula,Science Fiction Drama,1982,9.8,"David Fincher, Cary Joji Fukunaga",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,161,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",21466197,267233051
The Invisible Man,Comedy Animation,1985,9.9,David Fincher,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,106,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",125937999,1050721711
The Wolf Man,Comedy Animation,2019,6.1,Brad Bird,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,96,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",144568947,799459431
The Phantom of the Opera,Horror Thriller,2012,9.3,Steven Spielberg,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,180,"Actor 0, Actor 1, Actor 2",183823483,117779246
Nosferatu,Action Thriller,1986,5.7,"Alfonso Cuarón, Christopher Nolan",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,88,"Actor 0, Actor 1, Actor 2, Actor 3",250665922,1604945552
The Cabinet of Dr. Caligari,Horror Thriller,1998,7.7,Alfonso Cuarón,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,138,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",26723872,311243105
Metropolis,Biography,2024,7.3,Alejandro González Iñárritu,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,136,"Actor 0, Actor 1, Actor 2",53374059,1433459732
The Golem,Romance Comedy,1974,6.1,"Barry Jenkins, Alfonso Cuarón",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,138,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",240961505,475968237
The Student of Prague,Horror Thriller,2024,8.4,Wong Kar-wai,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,109,"Actor 0, Actor 1, Actor 2, Actor 3",191962524,1997762953
The Waxworks,Mystery Thriller,1996,8.7,"Wong Kar-wai, James Cameron",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,112,"Actor 0, Actor 1, Actor 2, Actor 3",91947397,2999873860
M,Biography,1974,5.9,David Fincher,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,92,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",210063257,608841618
The Hands of Orlac,Science Fiction Action,2007,9.7,"Christopher Nolan, Wong Kar-wai",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,165,"Actor 0, Actor 1, Actor 2, Actor 3",37619901,1285358894
The Last Laugh,Action Crime,1992,6.0,Quentin Tarantino,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,141,"Actor 0, Actor 1, Actor 2",68099302,1553728142
Sunrise,Family Adventure,1977,8.9,Wong Kar-wai,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,178,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",24094918,2665613239
The Passion of Joan of Arc,Science Fiction Drama,1971,6.3,"James Cameron, Greta Gerwig",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,103,"Actor 0, Actor 1, Actor 2",225169459,348867122
L'Atalante,Romance Comedy,2017,8.3,David Fincher,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,147,"Actor 0, Actor 1, Actor 2",211967833,1853166816
Un Chien Andalou,Romance Drama,1991,6.2,"James Cameron, Hayao Miyazaki",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,90,"Actor 0, Actor 1, Actor 2",93526326,726070354
L'Age d'Or,Science Fiction Action,2013,5.9,"Wong Kar-wai, Alejandro González Iñárritu",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,136,"Actor 0, Actor 1, Actor 2, Actor 3",156655333,975861658
L'avventura,Horror Thriller,1992,7.4,"Hayao Miyazaki, Alejandro González Iñárritu",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,165,"Actor 0, Actor 1, Actor 2, Actor 3",34383261,997119487
La Dolce Vita,Mystery Thriller,2008,5.7,Peter Jackson,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,178,"Actor 0, Actor 1, Actor 2",147180991,1293165953
8½,Comedy Animation,1977,5.5,"Denis Villeneuve, Quentin Tarantino",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,148,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",133539748,2198610411
Amarcord,Family Adventure,1974,7.2,Wong Kar-wai,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,138,"Actor 0, Actor 1, Actor 2",178073144,2522866768
The Night of the Hunter,Historical Drama,2006,7.3,"Peter Jackson, Christopher Nolan",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,82,"Actor 0, Actor 1, Actor 2, Actor 3",102273711,2704827789
Kiss Me Deadly,Romance Drama,2023,8.5,"David Fincher, Wong Kar-wai",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,111,"Actor 0, Actor 1, Actor 2, Actor 3",224989856,2300402001
Out of the Past,Comedy Drama,1995,9.3,"Damien Chazelle, James Cameron",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,89,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",71217586,2328930366
The Big Sleep,Drama Crime,2019,7.0,Damien Chazelle,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,98,"Actor 0, Actor 1, Actor 2, Actor 3",115909492,795172634
Double Indemnity,Romance Comedy,2018,8.8,Denis Villeneuve,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,143,"Actor 0, Actor 1, Actor 2, Actor 3",251004174,2975445989
The Killers,Comedy Animation,2010,6.9,"David Fincher, Alejandro González Iñárritu",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,160,"Actor 0, Actor 1, Actor 2, Actor 3",157464300,2590128512
Gun Crazy,Science Fiction Action,1992,7.7,"Bong Joon-ho, Park Chan-wook",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,87,"Actor 0, Actor 1, Actor 2, Actor 3",164123309,379557138
In a Lonely Place,Comedy Drama,2009,8.1,"Bong Joon-ho, Hayao Miyazaki",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,174,"Actor 0, Actor 1, Actor 2",251448941,2505246775
The Godfather 1,Drama Crime,1990,8.2,Martin Scorsese,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,93,"Actor 0, Actor 1, Actor 2, Actor 3",55273856,2217021467
The Godfather Part II 1,Action Thriller,1972,6.6,"Bong Joon-ho, Alfonso Cuarón",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,158,"Actor 0, Actor 1, Actor 2",205366228,1651387070
The Dark Knight Rises 1,Action Crime,1994,7.3,"Park Chan-wook, Martin Scorsese",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,162,"Actor 0, Actor 1, Actor 2, Actor 3",45386158,1466011033
Gladiator 1,Horror Thriller,2005,8.5,"Brad Bird, Quentin Tarantino",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,90,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",85928783,1552468844
The Silence of the Lambs 1,Action Crime,2011,8.6,"Quentin Tarantino, David Fincher",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,151,"Actor 0, Actor 1, Actor 2, Actor 3",186349506,598870021
Parasite 1,Comedy Drama,2011,8.5,"Steven Spielberg, Greta Gerwig",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,103,"Actor 0, Actor 1, Actor 2",193466155,2138517710
Everything Everywhere All at Once 1,Drama Crime,1984,9.9,David Fincher,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,180,"Actor 0, Actor 1, Actor 2",282563839,2368297747
Oppenheimer 1,Science Fiction Action,2012,7.0,Park Chan-wook,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,99,"Actor 0, Actor 1, Actor 2",107090936,2733239935
Dune 1,Action Thriller,2016,7.4,"Greta Gerwig, Damien Chazelle",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,158,"Actor 0, Actor 1, Actor 2, Actor 3",251016365,1055034996
Dune: Part Two 1,Adventure Fantasy,1989,9.7,"Cary Joji Fukunaga, Greta Gerwig",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,153,"Actor 0, Actor 1, Actor 2, Actor 3",257862548,1260200352
The Wolf of Wall Street 1,Mystery Thriller,2002,7.8,Cary Joji Fukunaga,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,97,"Actor 0, Actor 1, Actor 2, Actor 3",38013817,2803842979
American Beauty 1,Biography,1993,7.9,Alfonso Cuarón,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,116,"Actor 0, Actor 1, Actor 2",96067031,1221629709
Se7en 1,Romance Drama,2002,6.1,"David Fincher, Damien Chazelle",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,124,"Actor 0, Actor 1, Actor 2",232746083,278736604
Fight Club 1,Mystery Thriller,2002,7.1,"David Fincher, Greta Gerwig",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,83,"Actor 0, Actor 1, Actor 2, Actor 3",63194847,2841559885
The Social Network 1,Comedy Animation,2020,6.1,Peter Jackson,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,169,"Actor 0, Actor 1, Actor 2",261851583,1976728669
The Revenant 1,Action Adventure,1975,5.6,Quentin Tarantino,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,173,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",293345168,1867865363
Braveheart 1,Horror Thriller,2019,6.8,"Christopher Nolan, Martin Scorsese",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,133,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",255411006,319754673
Saving Private Ryan 1,Horror Thriller,2023,9.5,Alfonso Cuarón,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,110,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",87082231,1301003660
The Green Mile 1,Historical Drama,1970,8.2,Hayao Miyazaki,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,103,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",55963641,2298349034
Schindler's List 1,Family Adventure,1974,9.7,Barry Jenkins,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,85,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",217705324,1653321558
The Sixth Sense 1,Science Fiction Drama,2017,5.6,Greta Gerwig,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,173,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",65654115,2549255738
Unbreakable 1,Comedy Animation,1978,5.7,"Denis Villeneuve, Bong Joon-ho",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,141,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",107859752,629187439
Split 1,Comedy Drama,2015,8.9,"Martin Scorsese, Peter Jackson",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,85,"Actor 0, Actor 1, Actor 2",32498081,1405473709
Glass 1,Action Crime,2002,7.3,"Brad Bird, Martin Scorsese",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,104,"Actor 0, Actor 1, Actor 2, Actor 3",201649051,255316740
The Usual Suspects 1,Comedy Animation,1987,6.0,"Wong Kar-wai, Barry Jenkins",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,136,"Actor 0, Actor 1, Actor 2, Actor 3",192018902,852373824
Heat 1,Biography,2014,7.7,"David Fincher, Wong Kar-wai",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,135,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",106881836,2392794700
L.A. Confidential 1,Action Crime,1990,6.0,"Peter Jackson, Park Chan-wook",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,157,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",238769325,765733827
The Departed 1,Romance Drama,1992,7.5,"Park Chan-wook, Wong Kar-wai",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,161,"Actor 0, Actor 1, Actor 2",50287419,2932712850
Mystic River 1,Mystery Thriller,1993,7.8,Steven Spielberg,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,157,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",245242244,199460439
Prisoners 1,Romance Comedy,1974,6.5,"Greta Gerwig, Barry Jenkins",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,84,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",92376487,2966549321
Sicario 1,Romance Drama,1993,7.1,Hayao Miyazaki,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,147,"Actor 0, Actor 1, Actor 2, Actor 3",223692902,1400275186
Wind River 1,Science Fiction Drama,1985,9.7,Denis Villeneuve,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,146,"Actor 0, Actor 1, Actor 2, Actor 3",73222455,1174322241
True Grit 1,Science Fiction Drama,2015,7.5,"Alejandro González Iñárritu, Cary Joji Fukunaga",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,97,"Actor 0, Actor 1, Actor 2",252688571,791553420
No Country for Old Men 1,Romance Drama,1975,9.1,"Greta Gerwig, David Fincher",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,149,"Actor 0, Actor 1, Actor 2, Actor 3",171038014,726479877
There Will Be Blood 1,Action Thriller,2020,7.1,Christopher Nolan,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,97,"Actor 0, Actor 1, Actor 2",275226009,162889043
Phantom Thread 1,Family Adventure,2005,8.0,"Spike Lee, Quentin Tarantino",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,91,"Actor 0, Actor 1, Actor 2",176049191,1760084067
The Master 1,Biography,2003,7.3,"Hayao Miyazaki, David Fincher",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,120,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",49817040,1982625737
Whiplash 1,Romance Drama,2013,7.8,Spike Lee,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,155,"Actor 0, Actor 1, Actor 2",79274043,1908081385
La La Land 1,Science Fiction Action,2023,6.0,Peter Jackson,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,100,"Actor 0, Actor 1, Actor 2, Actor 3",131048438,1536157809
Moonlight 1,Action Crime,2024,5.8,Spike Lee,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,96,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",172577720,2688949369
Black Panther 1,Comedy Drama,2002,8.3,Denis Villeneuve,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,159,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",191258135,2470721027
Captain America: The Winter Soldier 1,Science Fiction Action,2022,9.3,Martin Scorsese,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,178,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",152086056,2846581976
Iron Man 1,Drama Crime,2019,8.0,Alejandro González Iñárritu,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,149,"Actor 0, Actor 1, Actor 2, Actor 3",172185543,2124232200
Doctor Strange 1,Adventure Fantasy,2021,9.1,"Peter Jackson, Bong Joon-ho",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,168,"Actor 0, Actor 1, Actor 2",94868795,1938091245
Thor: Ragnarok 1,Historical Drama,2000,7.5,"Park Chan-wook, Quentin Tarantino",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,171,"Actor 0, Actor 1, Actor 2, Actor 3",195419405,1762474804
Avengers: Infinity War 1,Romance Comedy,2018,7.1,James Cameron,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,139,"Actor 0, Actor 1, Actor 2",153597762,1981000173
Avengers: Endgame 1,Adventure Fantasy,1979,5.9,"Barry Jenkins, Wong Kar-wai",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,100,"Actor 0, Actor 1, Actor 2, Actor 3",177887544,865331250
Spider-Man: Into the Spider-Verse 1,Action Thriller,2001,9.9,"Alejandro González Iñárritu, Peter Jackson",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,82,"Actor 0, Actor 1, Actor 2",221120291,2220867436
The Lego Movie 1,Romance Drama,1985,6.4,"Martin Scorsese, Park Chan-wook",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,143,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",262644392,1277279967
Coco 1,Action Adventure,2024,6.0,Brad Bird,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,126,"Actor 0, Actor 1, Actor 2, Actor 3",206461120,244314620
Inside Out 1,Mystery Thriller,1973,8.0,Greta Gerwig,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,116,"Actor 0, Actor 1, Actor 2",217419444,2215761020
Frozen 1,Romance Drama,2018,7.9,Quentin Tarantino,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,130,"Actor 0, Actor 1, Actor 2, Actor 3",192045032,2445869480
Spirited Away 1,Family Adventure,2018,6.1,"Alfonso Cuarón, Martin Scorsese",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,84,"Actor 0, Actor 1, Actor 2",188799867,2084715642
Your Name 1,Romance Drama,1979,8.2,James Cameron,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,120,"Actor 0, Actor 1, Actor 2",220965885,2697849438
A Silent Voice 1,Action Crime,2007,7.0,"Hayao Miyazaki, Peter Jackson",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,82,"Actor 0, Actor 1, Actor 2, Actor 3",187832901,2943976444
Makoto Shinkai Films 1,Horror Thriller,1996,8.1,Park Chan-wook,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,113,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",132161339,270568746
The Hunger Games 1,Biography,1980,7.8,"Quentin Tarantino, Damien Chazelle",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,153,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",68999709,869412471
The Maze Runner 1,Action Adventure,1998,6.9,Wong Kar-wai,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,106,"Actor 0, Actor 1, Actor 2, Actor 3",279412294,2676278260
Ready Player One 1,Biography,2024,8.7,Quentin Tarantino,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,106,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",184509639,2894242456
Aquaman 1,Biography,2003,7.2,Bong Joon-ho,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,123,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",200206377,2952833426
Wonder Woman 1,Science Fiction Drama,2009,7.6,Brad Bird,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,118,"Actor 0, Actor 1, Actor 2",169780600,1291263320
Joker 1,Drama Crime,2014,8.6,"Alejandro González Iñárritu, Greta Gerwig",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,172,"Actor 0, Actor 1, Actor 2, Actor 3",164505744,573445293
The Dark Knight 1,Mystery Thriller,1995,9.1,Peter Jackson,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,116,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",52428604,1537619960
Superman 1,Romance Drama,2011,6.6,"Cary Joji Fukunaga, Park Chan-wook",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,114,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",155825667,639582865
X-Men: Days of Future Past 1,Horror Thriller,2009,8.8,Damien Chazelle,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,165,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",131156543,2789951076
Deadpool 1,Adventure Fantasy,1973,5.9,"Alejandro González Iñárritu, Christopher Nolan",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,178,"Actor 0, Actor 1, Actor 2",12781764,2413746243
Logan 1,Action Thriller,1996,8.4,"Alejandro González Iñárritu, Cary Joji Fukunaga",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,121,"Actor 0, Actor 1, Actor 2, Actor 3",41762671,434230848
Eternals 1,Adventure Fantasy,2004,8.8,Denis Villeneuve,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,102,"Actor 0, Actor 1, Actor 2",223134837,2177657643
Black Widow 1,Action Thriller,2017,9.7,"Martin Scorsese, Steven Spielberg",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,152,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",67606619,1488994940
Shang-Chi 1,Action Crime,1999,9.9,"Quentin Tarantino, Alfonso Cuarón",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,114,"Actor 0, Actor 1, Actor 2",70476769,1470277403
The Matrix Resurrections 1,Action Thriller,2016,7.5,"Denis Villeneuve, Steven Spielberg",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,123,"Actor 0, Actor 1, Actor 2, Actor 3",113702678,803744909
Twisters 1,Mystery Thriller,2022,7.4,"David Fincher, Barry Jenkins",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,92,"Actor 0, Actor 1, Actor 2",85490426,2100649750
Asteroid City 1,Comedy Animation,1985,5.5,"Damien Chazelle, Bong Joon-ho",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,122,"Actor 0, Actor 1, Actor 2, Actor 3",16139513,1173362233
Poor Things 1,Family Adventure,2014,6.5,Bong Joon-ho,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,100,"Actor 0, Actor 1, Actor 2, Actor 3",279788620,1385640103
Killers of the Flower Moon 1,Horror Thriller,2010,9.5,"Greta Gerwig, Damien Chazelle",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,97,"Actor 0, Actor 1, Actor 2, Actor 3",92240874,2004118497
Barbie 1,Family Adventure,1996,8.6,"Spike Lee, Cary Joji Fukunaga",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,167,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",53953786,2307033897
The Brutalist 1,Romance Comedy,1980,6.9,"Christopher Nolan, Cary Joji Fukunaga",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,154,"Actor 0, Actor 1, Actor 2, Actor 3",58823920,2242045446
Past Lives 1,Romance Drama,2021,5.7,Alfonso Cuarón,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,138,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",40997196,2450015680
Anatomy of a Fall 1,Romance Drama,2013,9.1,Barry Jenkins,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,80,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",126984874,2533827971
The Zone of Interest 1,Comedy Drama,1972,7.4,Spike Lee,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,88,"Actor 0, Actor 1, Actor 2, Actor 3",27037531,1283045201
Sanctuary 1,Historical Drama,1981,8.9,"Greta Gerwig, Barry Jenkins",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,128,"Actor 0, Actor 1, Actor 2, Actor 3",53083886,2982304514
All of Us Strangers 1,Romance Comedy,2011,9.3,Denis Villeneuve,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,130,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",78368944,1006447193
Saltburn 1,Action Adventure,2018,5.6,"Bong Joon-ho, Spike Lee",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,148,"Actor 0, Actor 1, Actor 2, Actor 3",133299956,1113056115
Guardians of the Galaxy Vol. 3 1,Romance Drama,1992,6.2,Christopher Nolan,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,164,"Actor 0, Actor 1, Actor 2, Actor 3",18399773,1083653860
The Marvels 1,Drama Crime,1974,5.9,Bong Joon-ho,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,166,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",36132901,1101125170
Ant-Man: Quantumania 1,Science Fiction Action,1995,7.4,Martin Scorsese,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,144,"Actor 0, Actor 1, Actor 2, Actor 3",135714507,2524375067
Blue Beetle 1,Comedy Animation,2006,8.1,"Damien Chazelle, Peter Jackson",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,164,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",128671419,1826227561
Dungeons & Dragons: Honor Among Thieves 1,Action Crime,1987,5.8,Wong Kar-wai,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,143,"Actor 0, Actor 1, Actor 2",194906301,2813021449
Five Nights at Freddy's 1,Mystery Thriller,2020,7.8,"Wong Kar-wai, Quentin Tarantino",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,128,"Actor 0, Actor 1, Actor 2",298798038,2083747850
Insidious 1,Adventure Fantasy,2024,6.5,Bong Joon-ho,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,151,"Actor 0, Actor 1, Actor 2, Actor 3",233610957,2443528385
Insidious: Chapter 2 1,Romance Comedy,1994,6.6,James Cameron,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,90,"Actor 0, Actor 1, Actor 2, Actor 3",209220713,447129827
Conjuring 2 1,Drama Crime,1973,6.7,David Fincher,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,177,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",126509858,2108982440
Annabelle 1,Drama Crime,1991,6.8,Cary Joji Fukunaga,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,174,"Actor 0, Actor 1, Actor 2",267118686,1091929790
The Ring Two 1,Drama Crime,1995,9.5,"Peter Jackson, Barry Jenkins",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,148,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",202876007,1374663629
Sinister 1,Science Fiction Drama,1993,7.8,"Bong Joon-ho, Christopher Nolan",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,140,"Actor 0, Actor 1, Actor 2, Actor 3",119053240,1642165525
Hereditary 1,Comedy Animation,1996,5.7,Quentin Tarantino,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,113,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",234185520,1317841227
Midsommar 1,Romance Comedy,1982,7.0,"Hayao Miyazaki, Damien Chazelle",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,150,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",191228444,1155209993
Candyman 1,Biography,2016,8.3,"Bong Joon-ho, Denis Villeneuve",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,125,"Actor 0, Actor 1, Actor 2",85139661,2397398593
Get Out 1,Biography,1981,9.5,Alfonso Cuarón,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,89,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",36045966,77418321
Us 1,Historical Drama,1978,9.2,David Fincher,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,99,"Actor 0, Actor 1, Actor 2",127424229,2222106337
